time,seconds_elapsed,dBFS
1742829710423000000,0.05,-66.40626525878906
1742829710523000000,0.15,-65.61785125732422
1742829710623000000,0.25,-63.55564880371094
1742829710740000000,0.367,-65.00729370117188
1742829710840000000,0.467,-63.59607696533203
1742829710940000000,0.567,-62.86688232421875
1742829711040000000,0.667,-62.6171760559082
1742829711140000000,0.767,-62.021263122558594
1742829711240000000,0.867,-64.0001220703125
1742829711340000000,0.967,-64.37505340576172
1742829711440000000,1.067,-66.5982666015625
1742829711540000000,1.167,-65.9231185913086
1742829711641000000,1.268,-64.91275024414062
1742829711741000000,1.368,-63.6092414855957
1742829711840000000,1.467,-64.2740249633789
1742829711941000000,1.568,-65.08657836914062
1742829712041000000,1.668,-66.68004608154297
1742829712158000000,1.785000244140625,-65.27662658691406
1742829712257000000,1.884,-65.28630828857422
1742829712357000000,1.984,-63.99372100830078
1742829712457000000,2.084,-64.31538391113281
1742829712557000000,2.184,-64.73699188232422
1742829712657000000,2.284,-63.25740432739258
1742829712757000000,2.384,-63.72447967529297
1742829712857000000,2.484,-65.40254974365234
1742829712957000000,2.584,-65.69102478027344
1742829713057000000,2.684,-65.94597625732422
1742829713157000000,2.784,-64.30162048339844
1742829713257000000,2.884,-60.50160598754883
1742829713357000000,2.984,-59.02568435668945
1742829713457000000,3.084,-61.232112884521484
1742829713557000000,3.184,-61.777984619140625
1742829713657000000,3.284,-63.15998458862305
1742829713757000000,3.384,-63.90167999267578
1742829713857000000,3.484,-63.32111358642578
1742829713958000000,3.585000244140625,-62.398460388183594
1742829714057000000,3.684,-63.31131362915039
1742829714158000000,3.785000244140625,-63.428829193115234
1742829714257000000,3.884,-61.432952880859375
1742829714358000000,3.985000244140625,-62.2048225402832
1742829714458000000,4.084999755859375,-62.67422103881836
1742829714558000000,4.185000244140625,-61.048152923583984
1742829714658000000,4.284999755859375,-59.60212326049805
1742829714757000000,4.384,-60.606441497802734
1742829714858000000,4.484999755859375,-58.57838439941406
1742829714957000000,4.584,-59.94075012207031
1742829715059000000,4.686,-57.33778762817383
1742829715160000000,4.787,-56.29920196533203
1742829715258000000,4.884999755859375,-57.24779510498047
1742829715357000000,4.984,-58.098602294921875
1742829715457000000,5.084,-59.97496032714844
1742829715557000000,5.184,-60.17314910888672
1742829715658000000,5.284999755859375,-61.19841766357422
1742829715758000000,5.385000244140625,-61.68009948730469
1742829715858000000,5.484999755859375,-60.140708923339844
1742829715957000000,5.584,-60.34356689453125
1742829716057000000,5.684,-59.999839782714844
1742829716157000000,5.784,-56.380008697509766
1742829716258000000,5.884999755859375,-57.10920715332031
1742829716358000000,5.985000244140625,-57.787235260009766
1742829716457000000,6.084,-57.1638298034668
1742829716558000000,6.185000244140625,-58.2934684753418
1742829716658000000,6.284999755859375,-59.41019058227539
1742829716757000000,6.384,-59.06473922729492
1742829716857000000,6.484,-59.82195281982422
1742829716958000000,6.585000244140625,-60.06098556518555
1742829717057000000,6.684,-57.55250549316406
1742829717158000000,6.785000244140625,-58.63862609863281
1742829717258000000,6.884999755859375,-59.737483978271484
1742829717358000000,6.985000244140625,-59.1446418762207
1742829717457000000,7.084,-59.68408203125
1742829717558000000,7.185000244140625,-57.134620666503906
1742829717658000000,7.284999755859375,-57.963287353515625
1742829717758000000,7.385000244140625,-57.6916389465332
1742829717858000000,7.484999755859375,-56.03434371948242
1742829717958000000,7.585000244140625,-57.456417083740234
1742829718057000000,7.684,-58.111328125
1742829718157000000,7.784,-59.4102897644043
1742829718258000000,7.884999755859375,-59.408668518066406
1742829718358000000,7.985000244140625,-59.239967346191406
1742829718458000000,8.084999755859375,-60.40566635131836
1742829718558000000,8.185000244140625,-59.941734313964844
1742829718658000000,8.284999755859374,-61.08125305175781
1742829718758000000,8.385000244140626,-61.15592575073242
1742829718858000000,8.484999755859375,-58.237548828125
1742829718958000000,8.585000244140625,-58.285831451416016
1742829719058000000,8.684999755859375,-56.56788635253906
1742829719159000000,8.786,-55.19710922241211
1742829719258000000,8.884999755859376,-54.82679748535156
1742829719358000000,8.985000244140625,-56.14806365966797
1742829719458000000,9.084999755859375,-56.75871658325195
1742829719558000000,9.185000244140625,-58.18104934692383
1742829719658000000,9.284999755859374,-59.1811637878418
1742829719758000000,9.385000244140626,-59.253910064697266
1742829719874000000,9.500999755859375,-59.09283447265625
1742829719974000000,9.601000244140625,-57.85149383544922
1742829720074000000,9.700999755859375,-58.52307891845703
1742829720174000000,9.801000244140624,-59.321380615234375
1742829720275000000,9.902,-57.90956115722656
1742829720376000000,10.003,-55.66741943359375
1742829720474000000,10.100999755859375,-55.5804557800293
1742829720574000000,10.201000244140625,-53.78449630737305
1742829720674000000,10.300999755859374,-54.32704162597656
1742829720774000000,10.401000244140626,-53.440147399902344
1742829720874000000,10.500999755859375,-53.76197052001953
1742829720974000000,10.601000244140625,-54.71089553833008
1742829721075000000,10.702,-53.78116226196289
1742829721175000000,10.802,-54.15194320678711
1742829721274000000,10.900999755859376,-52.63047409057617
1742829721374000000,11.001000244140625,-53.103759765625
1742829721474000000,11.100999755859375,-52.18586349487305
1742829721574000000,11.201000244140625,-51.68172836303711
1742829721675000000,11.302,-52.35400390625
1742829721774000000,11.401000244140626,-53.62637710571289
1742829721874000000,11.500999755859375,-52.05046463012695
