id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUN2cVpuSGVBEAE,,2 months ago,2025-02-17 20:05:07.778251,,Nikolay Voronin,0,0,
ChdDSUhNMG9nS0VJQ0FnSUM3N3Bpem1nRRAB,,6 months ago,2025-02-17 20:05:07.779270,,Anantha Krishnan,0,0,
ChdDSUhNMG9nS0VJQ0FnSUN6Nkp5c2xRRRAB,I had camping there earlier this month despite losing 2 Spinning balls under the spiky plants,8 months ago,2025-02-17 20:05:07.780589,,Joshua Silva,0,0,
ChdDSUhNMG9nS0VJQ0FnSUREN3VxYmlBRRAB,Amazing for kids to explore and get lost in nature. Sunsets are gorgeous too.,10 months ago,2025-02-17 20:05:07.781896,,Tania Udaondo,0,0,
ChdDSUhNMG9nS0VJQ0FnSURsaWFPa3RRRRAB,,a year ago,2025-02-17 20:05:07.782905,,Ruhela Ahmed,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNsbHZTWGNnEAE,"Great place to go to walk the dog. At night it can get a bit dark, as there's no lighting on the green itself even though it's not really near any residential spaces? Unsure if this was the plan or not.",a year ago,2025-02-17 20:05:07.783942,,Robert Forbes,0,0,
ChdDSUhNMG9nS0VJQ0FnSURweW96YXpBRRAB,,a year ago,2025-02-17 20:05:07.786423,,Kazi Abdullah,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNwNXFiMkNBEAE,,a year ago,2025-02-17 20:05:07.787435,,Ρένα Γκοτζαή,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNweHF6SHB3RRAB,,a year ago,2025-02-17 20:05:07.789540,,Nitai shevach,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNKb016blNREAE,,a year ago,2025-02-17 20:05:07.791043,,Andras Horvath,0,0,
ChdDSUhNMG9nS0VJQ0FnSUR4X09QeTBnRRAB,Open space for group games and events. I like to play frisbee here a lot. Also it has a little park for kids and 3 ping pong tables 🔥 …,a year ago,2025-02-17 20:05:07.792065,,Lucas Velásquez Morales,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNCcTlhYktBEAE,Isolated on an island between the Prescott Channel and the Three Mills River Weir. A circular landscaped grassed  green with some light woodland on the northern …,2 years ago,2025-02-17 20:05:07.794207,,jeff benjamin,0,0,
ChZDSUhNMG9nS0VJQ0FnSURlamJuSUFnEAE,"Nice space, great gym. It could have serious ecological corridors as a development of where it is now. Pollution hedges between the park and the road.",2 years ago,2025-02-17 20:05:07.795655,,Llewelyn Jones,0,0,
ChZDSUhNMG9nS0VJQ0FnSURlLU8ydFhBEAE,Hope it gets completed soon,2 years ago,2025-02-17 20:05:07.796892,,Ali Hafezz,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNla2ZUVFZBEAE,,2 years ago,2025-02-17 20:05:07.798320,,Fabiola Conde fernandez,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNPdFkyM213RRAB,A good place to go for a walk 🤠 …,2 years ago,2025-02-17 20:05:07.799327,,Robert “Bugsy” Dunleavy,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNPcnBpaUN3EAE,,2 years ago,2025-02-17 20:05:07.800334,,Mark Walker,0,0,
ChZDSUhNMG9nS0VJQ0FnSUQyOC1hNkJREAE,,2 years ago,2025-02-17 20:05:07.801742,,Milen Damyanov,0,0,
ChZDSUhNMG9nS0VJQ0FnSUQyek1haVZnEAE,Good for a walk but it turn to a big mess after each music festival. The last one happened a few months ago and the park has not get back its orgional shape despite spring is going to pass. The whole ground seems like animals ploughs over …,2 years ago,2025-02-17 20:05:07.802746,,MOAS,0,0,
ChdDSUhNMG9nS0VJQ0FnSURXbDZ2WDhBRRAB,Nice,2 years ago,2025-02-17 20:05:07.804275,,Petr Diopan,0,0,
ChdDSUhNMG9nS0VJQ0FnSURXOF9DODZBRRAB,,2 years ago,2025-02-17 20:05:14.021654,,sudexro,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNXMTRpa3ZnRRAB,Wonderful place for a walk and take some good photos. Park nearby and canal,2 years ago,2025-02-17 20:05:14.024438,,Shaba Ali,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNXeGVXb1FREAE,"A classic 18th century tidal mill in east London, fantastic.",2 years ago,2025-02-17 20:05:14.025941,,bob sedgwick,0,0,
ChZDSUhNMG9nS0VJQ0FnSURtcDVxME9REAE,,3 years ago,2025-02-17 20:05:14.027822,,Deeksha Goyal,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNxeG9xTC1nRRAB,"Another hidden gem in East London: Lovely green, next to 3 mills heritage area (oldest tidal mills in the world) and the 3 Mills film studios (famous for many things including one of the big brother sets, master chef etc) and this is on the …",3 years ago,2025-02-17 20:05:14.029147,,A. V. Mani,0,0,
ChdDSUhNMG9nS0VJQ0FnSURtMWFldzJRRRAB,Very pretty area by the canal. Great for a walk,3 years ago,2025-02-17 20:05:14.030331,,Sue Lockwood,0,0,
ChdDSUhNMG9nS0VJQ0FnSURtb3FPWGpBRRAB,It was a nice park until it was rented out to pop concerts who ruined the grass its just a quagmire of mud now its unusable .,3 years ago,2025-02-17 20:05:14.031393,,Poppy Napoleon,0,0,
ChdDSUhNMG9nS0VJQ0FnSURtX0xfOWhRRRAB,great place,3 years ago,2025-02-17 20:05:14.033948,,carl bodecker,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNtemFEbldBEAE,Excellent place to walk around.,3 years ago,2025-02-17 20:05:14.035447,,Opu Islam,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNtbHNUXzRRRRAB,Quiet serene walk path through waterlogged small park space. Walk path around three mills studio completed,3 years ago,2025-02-17 20:05:14.036977,,mah203,0,0,
