id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUN2cVpuSGVBEAE,,2 months ago,05:07.8,,Nikolay Voronin,0,0,
ChdDSUhNMG9nS0VJQ0FnSUM3N3Bpem1nRRAB,,6 months ago,05:07.8,,Anantha Krishnan,0,0,
ChdDSUhNMG9nS0VJQ0FnSUN6Nkp5c2xRRRAB,I had camping there earlier this month despite losing 2 Spinning balls under the spiky plants,8 months ago,05:07.8,,Joshua Silva,0,0,
ChdDSUhNMG9nS0VJQ0FnSUREN3VxYmlBRRAB,Amazing for kids to explore and get lost in nature. Sunsets are gorgeous too.,10 months ago,05:07.8,,Tania Udaondo,0,0,
ChdDSUhNMG9nS0VJQ0FnSURsaWFPa3RRRRAB,,a year ago,05:07.8,,Ruhela Ahmed,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNsbHZTWGNnEAE,Great place to go to walk the dog. At night it can get a bit dark,,,,,,,
ChdDSUhNMG9nS0VJQ0FnSURweW96YXpBRRAB,,a year ago,05:07.8,,Kazi Abdullah,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNwNXFiMkNBEAE,,a year ago,05:07.8,,Ρένα Γκοτζαή,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNweHF6SHB3RRAB,,a year ago,05:07.8,,Nitai shevach,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNKb016blNREAE,,a year ago,05:07.8,,Andras Horvath,0,0,
ChdDSUhNMG9nS0VJQ0FnSUR4X09QeTBnRRAB,Open space for group games and events. I like to play frisbee here a lot. Also it has a little park for kids and 3 ping pong tables 🔥 …,a year ago,05:07.8,,Lucas Velásquez Morales,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNCcTlhYktBEAE,Isolated on an island between the Prescott Channel and the Three Mills River Weir. A circular landscaped grassed  green with some light woodland on the northern …,2 years ago,05:07.8,,jeff benjamin,0,0,
ChZDSUhNMG9nS0VJQ0FnSURlamJuSUFnEAE,Nice space,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSURlLU8ydFhBEAE,Hope it gets completed soon,2 years ago,05:07.8,,Ali Hafezz,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNla2ZUVFZBEAE,,2 years ago,05:07.8,,Fabiola Conde fernandez,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNPdFkyM213RRAB,A good place to go for a walk 🤠 …,2 years ago,05:07.8,,Robert “Bugsy” Dunleavy,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNPcnBpaUN3EAE,,2 years ago,05:07.8,,Mark Walker,0,0,
ChZDSUhNMG9nS0VJQ0FnSUQyOC1hNkJREAE,,2 years ago,05:07.8,,Milen Damyanov,0,0,
ChZDSUhNMG9nS0VJQ0FnSUQyek1haVZnEAE,Good for a walk but it turn to a big mess after each music festival. The last one happened a few months ago and the park has not get back its orgional shape despite spring is going to pass. The whole ground seems like animals ploughs over …,2 years ago,05:07.8,,MOAS,0,0,
ChdDSUhNMG9nS0VJQ0FnSURXbDZ2WDhBRRAB,Nice,2 years ago,05:07.8,,Petr Diopan,0,0,
ChdDSUhNMG9nS0VJQ0FnSURXOF9DODZBRRAB,,2 years ago,05:14.0,,sudexro,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNXMTRpa3ZnRRAB,Wonderful place for a walk and take some good photos. Park nearby and canal,2 years ago,05:14.0,,Shaba Ali,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNXeGVXb1FREAE,A classic 18th century tidal mill in east London,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSURtcDVxME9REAE,,3 years ago,05:14.0,,Deeksha Goyal,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNxeG9xTC1nRRAB,Another hidden gem in East London: Lovely green,,,,,,,
ChdDSUhNMG9nS0VJQ0FnSURtMWFldzJRRRAB,Very pretty area by the canal. Great for a walk,3 years ago,05:14.0,,Sue Lockwood,0,0,
ChdDSUhNMG9nS0VJQ0FnSURtb3FPWGpBRRAB,It was a nice park until it was rented out to pop concerts who ruined the grass its just a quagmire of mud now its unusable .,3 years ago,05:14.0,,Poppy Napoleon,0,0,
ChdDSUhNMG9nS0VJQ0FnSURtX0xfOWhRRRAB,great place,3 years ago,05:14.0,,carl bodecker,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNtemFEbldBEAE,Excellent place to walk around.,3 years ago,05:14.0,,Opu Islam,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNtbHNUXzRRRRAB,Quiet serene walk path through waterlogged small park space. Walk path around three mills studio completed,3 years ago,05:14.0,,mah203,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNHaV9fSDhnRRAB,love that place,3 years ago,05:20.3,,Slawka Kowalska,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNHN3Y2d3lRRRAB,Beautiful place and great location clean environments and green park,3 years ago,05:20.3,,Noor Ahmed,0,0,
ChdDSUhNMG9nS0VJQ0FnSUM2aWZyaDdRRRAB,,3 years ago,05:20.4,,Curtis Armstrong,0,0,
ChZDSUhNMG9nS0VJQ0FnSURhOWJ1UmRBEAE,A small park with ping pong tables!,3 years ago,05:20.4,,Chetna Kashmiri,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNhbVBTNkd3EAE,,3 years ago,05:20.4,,Olusegun Moses,0,0,
ChZDSUhNMG9nS0VJQ0FnSURxMGFfYk9BEAE,,3 years ago,05:20.4,,Laura Dai,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNLcjR5bnBRRRAB,A big round park,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSUNQX1lTQ1NBEAE,,2 months ago,05:52.1,,Raffi Bates,0,0,
ChZDSUhNMG9nS0VJQ0FnSUN6b2QzamNBEAE,We were volunteers for the Canal River Trust and spent a few hours clearing the towpath of overgrown vegetation. Great fun,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSURacnZTS2F3EAE,sluices of the canal for water discharge,a year ago,05:52.1,,Bohdan Solodovnichyi,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNwMFptY1hREAE,,a year ago,05:52.1,,Joan Laine,0,0,
ChdDSUhNMG9nS0VJQ0FnSURKbDRfNmxnRRAB,Great discovery on a bike ride. Cycled down from the greenway through the ecology park. Will try to navigate further along the dock towpaths next time.,a year ago,05:52.1,,Mark Clay,0,0,
ChdDSUhNMG9nS0VJQ0FnSURld1AyQzZnRRAB,Three Mills Lock ( also known as Prescott Lock) is situated in the Prescott Channel along the River Lea. I visited this waterworks feature during my self mini-historic tour of East London on 20/9/22,,,,,,,
ChdDSUhNMG9nS0VJQ0FnSURtcFBya3JBRRAB,,3 years ago,05:52.1,,Derek Chalmers,0,0,
ChZDSUhNMG9nS0VJQ0FnSURxdS1iV1NREAE,,3 years ago,05:52.1,,Akhil Antony,0,0,
ChZDSUhNMG9nS0VJQ0FnSUM4N2ZiZFVREAE,Very interesting place showing the local history of how the River Lea was used for grounding corn and gunpowder by using water power alone. Great walks along several river/canal banks. Nice view also of the Abbey Pumping Station on our walk too. 1st photo.,4 years ago,05:52.1,,Pat Holley,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNnZ3JiNEF3EAE,,6 years ago,05:52.1,,Owen Davies,0,0,
ChZDSUhNMG9nS0VJQ0FnSURudzdEcEpREAE,,4 months ago,06:24.6,,Samy Ibersiene,0,0,
ChZDSUhNMG9nS0VJQ0FnSURid0lMMkJnEAE,,6 months ago,06:24.6,,Marium Akter Moni,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNMbS1mS1JBEAE,,7 months ago,06:24.6,,Ivan Stanev,0,0,
ChdDSUhNMG9nS0VJQ0FnSURUbV8td2lBRRAB,,8 months ago,06:24.6,,Jj,0,0,
ChdDSUhNMG9nS0VJQ0FnSURUZ3ZhbDBRRRAB,We call this the hidden park as we access it from the greenway,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSUNUX3FqTGNREAE,Happiest place for everyone especially my kid spends lot of time here. Very peaceful area not only for children everyone can enjoy themselves here. Playground is very beautiful,,,,,,,
ChdDSUhNMG9nS0VJQ0FnSURsaWYyZjVBRRAB,,a year ago,06:24.6,,Ruhela Ahmed,0,0,
ChdDSUhNMG9nS0VJQ0FnSURKLUktU21BRRAB,Was quite busy,,,,,,,
ChZDSUhNMG9nS0VJQ0FnSUN4czZXcGJ3EAE,,a year ago,06:24.6,,Gepeto Nebunu,0,0,
ChdDSUhNMG9nS0VJQ0FnSURlLU8yT2h3RRAB,Lovely park with great slide,2 years ago,06:24.6,,Ali Hafezz,0,0,
ChdDSUhNMG9nS0VJQ0FnSUR1MF9DLThRRRAB,Excellent slides.,2 years ago,06:24.6,,Tuan Dang,0,0,
ChdDSUhNMG9nS0VJQ0FnSUN1dDhIYjdBRRAB,,2 years ago,06:24.6,,Andrea,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNPNmZhQnZRRRAB,,2 years ago,06:24.6,,onica octavian,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNPcE1DdUlBEAE,Soo-woo,2 years ago,06:24.6,,Faisal Mridha,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNLdGZ2RC1nRRAB,Nice park with slides,,,,,,,
ChdDSUhNMG9nS0VJQ0FnSUNXamI3al9BRRAB,,2 years ago,06:24.6,,Yilmaz Muhammed Usakli,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNtNHFIZmNnEAE,,3 years ago,06:24.6,,Chris Portou,0,0,
ChdDSUhNMG9nS0VJQ0FnSUQ2bEptWnB3RRAB,Cool little park,3 years ago,06:24.6,,David Leer,0,0,
ChdDSUhNMG9nS0VJQ0FnSUM2cHVqanpnRRAB,,3 years ago,06:24.6,,Zuber Ahmed,0,0,
ChdDSUhNMG9nS0VJQ0FnSUM2NElxUmh3RRAB,It is quite good and simple park where we can bring our kids. There are few slides and swings.,3 years ago,06:24.6,,venkataramana reddy,0,0,
ChdDSUhNMG9nS0VJQ0FnSURhNG82RXl3RRAB,The park was really nice and peaceful.  I never thought it would be that fun but we did have geart time .,3 years ago,06:30.8,,Mohamed Hassan,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNhLWUzOHBBRRAB,Still a good park,3 years ago,06:30.8,,marc drabble,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNhMmJuY2NBEAE,The park is really nice and my children enjoyed being there,3 years ago,06:30.8,,Elizabeth Fosu,0,0,
ChZDSUhNMG9nS0VJQ0FnSUNhZ1lpMFVnEAE,,3 years ago,06:30.8,,Dan Grecu,0,0,
ChdDSUhNMG9nS0VJQ0FnSUNhN3BLMHdRRRAB,Nice place for kids to play,3 years ago,06:30.8,,Harish Krovvidi,0,0,
